Key,Class,Subclass,Spell,Spell level,Unlocks at char level,Paid or free,Cross AP,"Origin AP (-1, floor 1)",Discount saved
Cleric|Life Domain,Cleric,Life Domain,Aid,2nd,3,PAID,1,1,0
Cleric|Life Domain,Cleric,Life Domain,Bless,1st,3,PAID,1,1,0
Cleric|Life Domain,Cleric,Life Domain,Cure Wounds,1st,3,PAID,1,1,0
Cleric|Life Domain,Cleric,Life Domain,Lesser Restoration,2nd,3,PAID,1,1,0
Cleric|Life Domain,Cleric,Life Domain,Mass Healing Word,3rd,5,PAID,2,1,1
Cleric|Life Domain,Cleric,Life Domain,Revivify,3rd,5,PAID,2,1,1
Cleric|Life Domain,Cleric,Life Domain,Aura of Life,4th,7,free with bundle,0,0,0
Cleric|Life Domain,Cleric,Life Domain,Death Ward,4th,7,free with bundle,0,0,0
Cleric|Life Domain,Cleric,Life Domain,Greater Restoration,5th,9,free with bundle,0,0,0
Cleric|Life Domain,Cleric,Life Domain,Mass Cure Wounds,5th,9,free with bundle,0,0,0
Cleric|Light Domain,Cleric,Light Domain,Burning Hands,1st,3,PAID,1,1,0
Cleric|Light Domain,Cleric,Light Domain,Faerie Fire,1st,3,PAID,1,1,0
Cleric|Light Domain,Cleric,Light Domain,Scorching Ray,2nd,3,PAID,1,1,0
Cleric|Light Domain,Cleric,Light Domain,See Invisibility,2nd,3,PAID,1,1,0
Cleric|Light Domain,Cleric,Light Domain,Daylight,3rd,5,PAID,2,1,1
Cleric|Light Domain,Cleric,Light Domain,Fireball,3rd,5,PAID,2,1,1
Cleric|Light Domain,Cleric,Light Domain,Arcane Eye,4th,7,free with bundle,0,0,0
Cleric|Light Domain,Cleric,Light Domain,Wall of Fire,4th,7,free with bundle,0,0,0
Cleric|Light Domain,Cleric,Light Domain,Flame Strike,5th,9,free with bundle,0,0,0
Cleric|Light Domain,Cleric,Light Domain,Scrying,5th,9,free with bundle,0,0,0
Cleric|Trickery Domain,Cleric,Trickery Domain,Charm Person,1st,3,PAID,1,1,0
Cleric|Trickery Domain,Cleric,Trickery Domain,Disguise Self,1st,3,PAID,1,1,0
Cleric|Trickery Domain,Cleric,Trickery Domain,Invisibility,2nd,3,PAID,1,1,0
Cleric|Trickery Domain,Cleric,Trickery Domain,Pass without Trace,2nd,3,PAID,1,1,0
Cleric|Trickery Domain,Cleric,Trickery Domain,Hypnotic Pattern,3rd,5,PAID,2,1,1
Cleric|Trickery Domain,Cleric,Trickery Domain,Nondetection,3rd,5,PAID,2,1,1
Cleric|Trickery Domain,Cleric,Trickery Domain,Confusion,4th,7,free with bundle,0,0,0
Cleric|Trickery Domain,Cleric,Trickery Domain,Dimension Door,4th,7,free with bundle,0,0,0
Cleric|Trickery Domain,Cleric,Trickery Domain,Dominate Person,5th,9,free with bundle,0,0,0
Cleric|Trickery Domain,Cleric,Trickery Domain,Modify Memory,5th,9,free with bundle,0,0,0
Cleric|War Domain,Cleric,War Domain,Guiding Bolt,1st,3,PAID,1,1,0
Cleric|War Domain,Cleric,War Domain,Shield of Faith,1st,3,PAID,1,1,0
Cleric|War Domain,Cleric,War Domain,Magic Weapon,2nd,3,PAID,1,1,0
Cleric|War Domain,Cleric,War Domain,Spiritual Weapon,2nd,3,PAID,1,1,0
Cleric|War Domain,Cleric,War Domain,Crusader's Mantle,3rd,5,PAID,2,1,1
Cleric|War Domain,Cleric,War Domain,Spirit Guardians,3rd,5,PAID,2,1,1
Cleric|War Domain,Cleric,War Domain,Fire Shield,4th,7,free with bundle,0,0,0
Cleric|War Domain,Cleric,War Domain,Freedom of Movement,4th,7,free with bundle,0,0,0
Cleric|War Domain,Cleric,War Domain,Hold Monster,5th,9,free with bundle,0,0,0
Cleric|War Domain,Cleric,War Domain,Steel Wind Strike,5th,9,free with bundle,0,0,0
Druid|Circle of the Land,Druid,Circle of the Land,Blur,2nd,3,PAID,1,1,0
Druid|Circle of the Land,Druid,Circle of the Land,Burning Hands,1st,3,PAID,1,1,0
Druid|Circle of the Land,Druid,Circle of the Land,Fire Bolt,cantrip,3,PAID,4,4,0
Druid|Circle of the Land,Druid,Circle of the Land,Fireball,3rd,5,PAID,2,1,1
Druid|Circle of the Land,Druid,Circle of the Land,Blight,4th,7,free with bundle,0,0,0
Druid|Circle of the Land,Druid,Circle of the Land,Wall of Stone,5th,9,free with bundle,0,0,0
Druid|Circle of the Moon,Druid,Circle of the Moon,Cure Wounds,1st,3,PAID,1,1,0
Druid|Circle of the Moon,Druid,Circle of the Moon,Moonbeam,2nd,3,PAID,1,1,0
Druid|Circle of the Moon,Druid,Circle of the Moon,Starry Wisp,cantrip,3,PAID,4,4,0
Druid|Circle of the Moon,Druid,Circle of the Moon,Conjure Animals,3rd,5,PAID,2,1,1
Druid|Circle of the Moon,Druid,Circle of the Moon,Fount of Moonlight,4th,7,free with bundle,0,0,0
Druid|Circle of the Moon,Druid,Circle of the Moon,Mass Cure Wounds,5th,9,free with bundle,0,0,0
Druid|Circle of the Sea,Druid,Circle of the Sea,Fog Cloud,1st,3,PAID,1,1,0
Druid|Circle of the Sea,Druid,Circle of the Sea,Gust of Wind,2nd,3,PAID,1,1,0
Druid|Circle of the Sea,Druid,Circle of the Sea,Ray of Frost,cantrip,3,PAID,4,4,0
Druid|Circle of the Sea,Druid,Circle of the Sea,Shatter,2nd,3,PAID,1,1,0
Druid|Circle of the Sea,Druid,Circle of the Sea,Thunderwave,1st,3,PAID,1,1,0
Druid|Circle of the Sea,Druid,Circle of the Sea,Lightning Bolt,3rd,5,PAID,2,1,1
Druid|Circle of the Sea,Druid,Circle of the Sea,Water Breathing,3rd,5,PAID,2,1,1
Druid|Circle of the Sea,Druid,Circle of the Sea,Control Water,4th,7,free with bundle,0,0,0
Druid|Circle of the Sea,Druid,Circle of the Sea,Ice Storm,4th,7,free with bundle,0,0,0
Druid|Circle of the Sea,Druid,Circle of the Sea,Conjure Elemental,5th,9,free with bundle,0,0,0
Druid|Circle of the Sea,Druid,Circle of the Sea,Hold Monster,5th,9,free with bundle,0,0,0
Druid|Circle of the Stars,Druid,Circle of the Stars,Guidance,cantrip,3,PAID,4,4,0
Druid|Circle of the Stars,Druid,Circle of the Stars,Guiding Bolt,1st,3,PAID,1,1,0
Paladin|Oath of Devotion,Paladin,Oath of Devotion,Protection from Evil and Good,1st,3,PAID,1,1,0
Paladin|Oath of Devotion,Paladin,Oath of Devotion,Shield of Faith,1st,3,PAID,1,1,0
Paladin|Oath of Devotion,Paladin,Oath of Devotion,Aid,2nd,5,PAID,1,1,0
Paladin|Oath of Devotion,Paladin,Oath of Devotion,Zone of Truth,2nd,5,PAID,1,1,0
Paladin|Oath of Devotion,Paladin,Oath of Devotion,Beacon of Hope,3rd,9,free with bundle,0,0,0
Paladin|Oath of Devotion,Paladin,Oath of Devotion,Dispel Magic,3rd,9,free with bundle,0,0,0
Paladin|Oath of Devotion,Paladin,Oath of Devotion,Freedom of Movement,4th,13,free with bundle,0,0,0
Paladin|Oath of Devotion,Paladin,Oath of Devotion,Guardian of Faith,4th,13,free with bundle,0,0,0
Paladin|Oath of Devotion,Paladin,Oath of Devotion,Commune,5th,17,free with bundle,0,0,0
Paladin|Oath of Devotion,Paladin,Oath of Devotion,Flame Strike,5th,17,free with bundle,0,0,0
Paladin|Oath of Glory,Paladin,Oath of Glory,Guiding Bolt,1st,3,PAID,1,1,0
Paladin|Oath of Glory,Paladin,Oath of Glory,Heroism,1st,3,PAID,1,1,0
Paladin|Oath of Glory,Paladin,Oath of Glory,Enhance Ability,2nd,5,PAID,1,1,0
Paladin|Oath of Glory,Paladin,Oath of Glory,Magic Weapon,2nd,5,PAID,1,1,0
Paladin|Oath of Glory,Paladin,Oath of Glory,Haste,3rd,9,free with bundle,0,0,0
Paladin|Oath of Glory,Paladin,Oath of Glory,Protection from Energy,3rd,9,free with bundle,0,0,0
Paladin|Oath of Glory,Paladin,Oath of Glory,Compulsion,4th,13,free with bundle,0,0,0
Paladin|Oath of Glory,Paladin,Oath of Glory,Freedom of Movement,4th,13,free with bundle,0,0,0
Paladin|Oath of Glory,Paladin,Oath of Glory,Legend Lore,5th,17,free with bundle,0,0,0
Paladin|Oath of Glory,Paladin,Oath of Glory,Yolande's Regal Presence,5th,17,free with bundle,0,0,0
Paladin|Oath of the Ancients,Paladin,Oath of the Ancients,Ensnaring Strike,1st,3,PAID,1,1,0
Paladin|Oath of the Ancients,Paladin,Oath of the Ancients,Speak with Animals,1st,3,PAID,1,1,0
Paladin|Oath of the Ancients,Paladin,Oath of the Ancients,Misty Step,2nd,5,PAID,1,1,0
Paladin|Oath of the Ancients,Paladin,Oath of the Ancients,Moonbeam,2nd,5,PAID,1,1,0
Paladin|Oath of the Ancients,Paladin,Oath of the Ancients,Plant Growth,3rd,9,free with bundle,0,0,0
Paladin|Oath of the Ancients,Paladin,Oath of the Ancients,Protection from Energy,3rd,9,free with bundle,0,0,0
Paladin|Oath of the Ancients,Paladin,Oath of the Ancients,Ice Storm,4th,13,free with bundle,0,0,0
Paladin|Oath of the Ancients,Paladin,Oath of the Ancients,Stoneskin,4th,13,free with bundle,0,0,0
Paladin|Oath of the Ancients,Paladin,Oath of the Ancients,Commune with Nature,5th,17,free with bundle,0,0,0
Paladin|Oath of the Ancients,Paladin,Oath of the Ancients,Tree Stride,5th,17,free with bundle,0,0,0
Paladin|Oath of Vengeance,Paladin,Oath of Vengeance,Bane,1st,3,PAID,1,1,0
Paladin|Oath of Vengeance,Paladin,Oath of Vengeance,Hunter's Mark,1st,3,PAID,1,1,0
Paladin|Oath of Vengeance,Paladin,Oath of Vengeance,Hold Person,2nd,5,PAID,1,1,0
Paladin|Oath of Vengeance,Paladin,Oath of Vengeance,Misty Step,2nd,5,PAID,1,1,0
Paladin|Oath of Vengeance,Paladin,Oath of Vengeance,Haste,3rd,9,free with bundle,0,0,0
Paladin|Oath of Vengeance,Paladin,Oath of Vengeance,Protection from Energy,3rd,9,free with bundle,0,0,0
Paladin|Oath of Vengeance,Paladin,Oath of Vengeance,Banishment,4th,13,free with bundle,0,0,0
Paladin|Oath of Vengeance,Paladin,Oath of Vengeance,Dimension Door,4th,13,free with bundle,0,0,0
Paladin|Oath of Vengeance,Paladin,Oath of Vengeance,Hold Monster,5th,17,free with bundle,0,0,0
Paladin|Oath of Vengeance,Paladin,Oath of Vengeance,Scrying,5th,17,free with bundle,0,0,0
Ranger|Fey Wanderer,Ranger,Fey Wanderer,Charm Person,1st,3,PAID,1,1,0
Ranger|Fey Wanderer,Ranger,Fey Wanderer,Misty Step,2nd,5,PAID,1,1,0
Ranger|Fey Wanderer,Ranger,Fey Wanderer,Summon Fey,3rd,9,free with bundle,0,0,0
Ranger|Fey Wanderer,Ranger,Fey Wanderer,Dimension Door,4th,13,free with bundle,0,0,0
Ranger|Fey Wanderer,Ranger,Fey Wanderer,Mislead,5th,17,free with bundle,0,0,0
Ranger|Gloom Stalker,Ranger,Gloom Stalker,Disguise Self,1st,3,PAID,1,1,0
Ranger|Gloom Stalker,Ranger,Gloom Stalker,Rope Trick,2nd,5,PAID,1,1,0
Ranger|Gloom Stalker,Ranger,Gloom Stalker,Fear,3rd,9,free with bundle,0,0,0
Ranger|Gloom Stalker,Ranger,Gloom Stalker,Greater Invisibility,4th,13,free with bundle,0,0,0
Ranger|Gloom Stalker,Ranger,Gloom Stalker,Seeming,5th,17,free with bundle,0,0,0
Sorcerer|Aberrant Sorcery,Sorcerer,Aberrant Sorcery,Mind Sliver,cantrip,3,PAID,4,4,0
Sorcerer|Aberrant Sorcery,Sorcerer,Aberrant Sorcery,Arms of Hadar,1st,3,PAID,1,1,0
Sorcerer|Aberrant Sorcery,Sorcerer,Aberrant Sorcery,Dissonant Whispers,1st,3,PAID,1,1,0
Sorcerer|Aberrant Sorcery,Sorcerer,Aberrant Sorcery,Calm Emotions,2nd,3,PAID,1,1,0
Sorcerer|Aberrant Sorcery,Sorcerer,Aberrant Sorcery,Detect Thoughts,2nd,3,PAID,1,1,0
Sorcerer|Aberrant Sorcery,Sorcerer,Aberrant Sorcery,Hunger of Hadar,3rd,5,PAID,2,1,1
Sorcerer|Aberrant Sorcery,Sorcerer,Aberrant Sorcery,Sending,3rd,5,PAID,2,1,1
Sorcerer|Aberrant Sorcery,Sorcerer,Aberrant Sorcery,Evard's Black Tentacles,4th,7,free with bundle,0,0,0
